CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL
12779351010497,12777128010497,129010497,,2005,41,4,59,87321,1,,2005,6,15,,1,1,6,0,45.6,-118.32,3300,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25017,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12779652010497,12777128010497,129010497,,2005,41,4,59,80244,1,,2005,10,6,,1,1,3,0,45.74,-118.32,3300,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25017,1,4,24,1,5,6,0,9,,,,,,,,,7,2
12779828010497,12777128010497,129010497,,2005,41,4,59,67453,1,,2005,6,11,,1,1,5,0,45.74,-118.17,3900,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25017,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12780166010497,12777128010497,129010497,,2005,41,4,59,88763,1,,2005,6,14,,1,1,5,0,45.93,-118.02,4900,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,24892,1,4,24,1,5,6,0,2,,,,,,,,,7,2
12780469010497,12777128010497,99010497,,2005,41,4,61,94663,1,,2005,9,26,,1,1,5,0,44.96,-118.23,7700,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25020,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12780763010497,12777128010497,99010497,,2005,41,4,61,69045,1,,2005,5,30,,1,1,5,0,45.07,-118.4,4500,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25142,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12781089010497,12777128010497,99010497,,2005,41,4,61,88552,1,,2005,6,1,,1,1,6,0,45.1,-118.09,5100,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25019,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12781339010497,12777128010497,99010497,,2005,41,4,61,51341,1,,2005,6,1,,1,1,5,4,45.1,-118.22,5900,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25019,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12782368010497,12777128010497,99010497,,2005,41,4,61,55793,1,,2005,10,3,,1,1,1,0,45.11,-117.73,4100,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24896,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12783546010497,12777128010497,99010497,,2005,41,4,61,77745,1,,2005,6,27,,1,1,9,4,45.12,-117.39,6100,,,2,,M332Gm,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24646,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12784041010497,12777128010497,99010497,,2005,41,4,61,60885,1,,2005,9,23,,1,1,6,0,45.17,-118.49,4900,,,2,2,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,25141,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12784345010497,12777128010497,99010497,,2005,41,4,61,57104,1,,2005,6,30,,1,1,3,0,45.13,-117.6,4700,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24771,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12784581010497,12777128010497,99010497,,2005,41,4,61,96133,1,,2005,9,25,,1,1,6,0,45.25,-118.08,5100,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,25019,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12784780010497,12777128010497,99010497,,2005,41,4,61,92502,1,,2005,9,27,,1,1,2,0,45.26,-117.76,3700,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24895,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12784948010497,12777128010497,99010497,,2005,41,4,61,56463,1,,2005,9,24,,1,1,4,0,45.6,-117.79,3300,,,2,,M332Gk,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24894,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12785186010497,12777128010497,99010497,,2005,41,4,61,93048,1,,2005,7,1,,1,1,6,0,45.42,-117.78,4900,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24770,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12785506010497,12777128010497,99010497,,2005,41,4,61,91510,1,,2005,10,5,,1,1,5,0,45.4,-118.08,3500,,,2,,M332Gk,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,25018,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12785579010497,12777128010497,99010497,,2005,41,4,61,96910,1,,2005,9,26,,1,1,2,0,45.74,-117.8,4100,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24893,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12785768010497,12777128010497,99010497,,2005,41,4,61,51437,1,,2005,6,3,,1,1,1,0,45.79,-117.97,4500,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24893,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12786454010497,12777128010497,130010497,,2005,41,4,63,77197,1,,2005,9,15,,1,1,5,0,45.16,-117.25,7100,,,2,,M332Gm,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24646,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12786833010497,12777128010497,130010497,,2005,41,4,63,85725,1,,2005,9,1,,1,1,8,1,45.21,-117.24,7100,,,2,2,M332Gm,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24645,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12787307010497,12777128010497,130010497,,2005,41,4,63,93674,1,,2005,9,29,,1,1,3,1,45.26,-117.44,6500,,,2,,M332Gm,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24645,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12787771010497,12777128010497,130010497,,2005,41,4,63,85252,1,,2005,8,29,,1,1,6,0,45.32,-117.25,5100,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24645,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12788042010497,12777128010497,130010497,,2005,41,4,63,54898,1,,2005,8,25,,1,1,6,0,45.29,-117.1,4900,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24519,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12788467010497,12777128010497,130010497,,2005,41,4,63,91713,1,,2005,9,5,,1,1,7,4,45.42,-117.43,4300,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24770,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12788763010497,12777128010497,130010497,,2005,41,4,63,83607,1,,2005,9,3,,1,1,7,0,45.48,-117.64,5500,,,2,,M332Ge,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24770,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12789122010497,12777128010497,130010497,,2005,41,4,63,81894,1,,2005,10,13,,1,1,5,0,45.47,-116.73,5300,,,2,,M332Gd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24390,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12789328010497,12777128010497,130010497,,2005,41,4,63,88177,1,,2005,4,27,,1,1,3,0,45.52,-116.59,3300,,,2,,M332Gd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24390,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12789506010497,12777128010497,130010497,,2005,41,4,63,79847,1,,2005,8,26,,1,1,1,0,45.64,-117.61,3700,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24769,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12789700010497,12777128010497,130010497,,2005,41,4,63,80204,1,,2005,8,23,,1,1,2,0,45.66,-117.31,4700,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24644,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12789898010497,12777128010497,130010497,,2005,41,4,63,95420,1,,2005,10,11,,1,1,1,0,45.7,-117.34,4500,,,2,2,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24643,1,4,24,1,5,6,0,1,,,,,,,,,7,2
12790315010497,12777128010497,130010497,,2005,41,4,63,50202,1,,2005,5,24,,1,1,2,0,45.76,-117.47,4100,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24643,1,4,24,1,5,6,0,1,,,,,,,,,7,2
12790548010497,12777128010497,130010497,,2005,41,4,63,85493,1,,2005,7,13,,1,1,2,0,45.8,-117.11,4700,,,2,,M332Gd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24517,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12790777010497,12777128010497,130010497,,2005,41,4,63,53597,1,,2005,8,22,,1,1,4,0,45.65,-117.38,4500,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24644,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12791129010497,12777128010497,130010497,,2005,41,4,63,65416,1,,2005,6,16,,1,1,6,4,45.84,-116.97,4700,,,2,,M332Gd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24516,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12791468010497,12777128010497,130010497,,2005,41,4,63,50798,1,,2005,10,12,,1,1,6,0,45.88,-117.95,4700,,,2,2,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24893,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12791651010497,12777128010497,130010497,,2005,41,4,63,97518,1,,2005,6,14,,1,1,8,0,45.93,-117.81,3700,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24768,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12791900010497,12777128010497,130010497,,2005,41,4,63,70521,1,,2005,8,31,,1,1,2,0,45.93,-117.51,3100,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,24768,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12792107010497,12777128010497,130010497,,2005,41,4,63,75688,1,,2005,6,13,,1,1,6,0,45.97,-117.66,4100,,,2,,M332Gf,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,24768,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12793015010497,12777128010497,131010497,,2005,41,3,65,87715,1,,2005,6,9,,1,1,5,1,44.9,-121.64,3500,,,2,,M242Cd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26312,1,4,24,1,5,6,0,6,,,,,,,,,7,2
12794149010497,12777128010497,131010497,,2005,41,3,65,82507,1,,2005,11,1,,1,1,2,0,45.01,-121.78,4300,,,2,,M242Bc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26423,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12794762010497,12777128010497,131010497,,2005,41,3,65,95169,1,,2005,6,10,,1,1,5,0,44.95,-120.6,3700,,,2,, 342Ic,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,25971,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12795490010497,12777128010497,131010497,,2005,41,3,65,97674,1,,2005,6,8,,1,1,5,0,45.04,-121.46,2700,,,2,,M242Cd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26311,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12797295010497,12777128010497,131010497,,2005,41,3,65,75141,1,,2005,9,12,,1,1,4,0,45.2,-121.49,3500,,,2,,M242Cd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26310,1,4,24,1,5,6,0,8,,,,,,,,,7,2
12797668010497,12777128010497,131010497,,2005,41,3,65,93939,1,,2005,10,29,,1,1,7,0,45.22,-121.68,4500,,,2,,M242Bc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26310,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12798276010497,12777128010497,131010497,,2005,41,3,65,93372,1,,2005,9,22,,1,1,3,0,45.25,-121.35,2300,,,2,,M242Cc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26198,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12798500010497,12777128010497,131010497,,2005,41,3,65,56200,1,,2005,10,18,,1,1,5,0,45.42,-121.39,3500,,,2,,M242Cd,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26197,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12798959010497,12777128010497,131010497,,2005,41,3,65,70288,1,,2005,5,18,,1,1,3,0,45.58,-121.38,1700,,,2,,M242Cc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26196,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12799456010497,12777128010497,132010497,,2005,41,0,67,99669,1,,2005,5,4,,1,1,1,4,45.69,-123.31,1300,,,2,,M242Af,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,18,26855,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12799819010497,12777128010497,132010497,,2005,41,0,67,57678,1,,2005,7,8,,1,1,4,0,45.74,-123.17,1500,,,2,,M242Af,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,18,26855,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12800180010497,12777128010497,133010497,,2005,41,3,69,72269,1,,2005,9,14,,1,1,5,0,44.32,-119.67,5700,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25625,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12800605010497,12777128010497,133010497,,2005,41,3,69,82879,1,,2005,9,21,,1,1,4,0,44.38,-119.86,5700,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25742,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12800916010497,12777128010497,133010497,,2005,41,3,69,73890,1,,2005,10,9,,1,1,2,4,44.46,-120.38,4700,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25858,1,4,24,1,5,6,0,6,,,,,,,,,7,2
12801126010497,12777128010497,133010497,,2005,41,3,69,81120,1,,2005,6,8,,1,1,7,0,44.51,-120.18,4300,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25858,1,4,24,1,5,6,0,1,,,,,,,,,7,2
12801357010497,12777128010497,133010497,,2005,41,3,69,87021,1,,2005,6,3,,1,1,8,4,44.49,-120.02,4300,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25741,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12801505010497,12777128010497,133010497,,2005,41,3,69,72635,1,,2005,6,6,,1,1,6,0,44.66,-120.05,3900,,,2,, 342Hc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25741,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12801636010497,12777128010497,133010497,,2005,41,3,69,86675,1,,2005,6,7,,1,1,1,0,44.69,-119.89,4100,,,2,, 342Hc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25740,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12801808010497,12777128010497,133010497,,2005,41,3,69,53638,1,,2005,6,2,,1,1,8,0,44.84,-120.26,3500,,,2,, 342Ha,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25856,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12801963010497,12777128010497,133010497,,2005,41,3,69,71717,1,,2005,4,29,,1,1,6,0,44.96,-120.12,3500,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25739,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12802142010497,12777128010497,133010497,,2005,41,3,69,62961,1,,2005,6,7,,1,1,6,0,44.97,-119.76,4300,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25622,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12802420010497,12777128010497,133010497,,2005,41,3,69,60474,1,,2005,5,31,,1,1,5,0,44.96,-120.05,3900,,,2,,M332Gb,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25739,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12802569010497,12777128010497,1010497,,2005,41,0,71,65851,1,,2005,12,19,,1,1,3,0,45.1,-123.02,100,,,2,, 242Bb,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26858,1,4,30,1,5,6,0,8,,,,,,,,,7,2
12802730010497,12777128010497,1010497,,2005,41,0,71,70187,1,,2005,8,11,,1,1,5,0,45.18,-123.54,1500,,,2,,M242Ad,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26964,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12802934010497,12777128010497,1010497,,2005,41,0,71,98752,1,,2005,11,14,,1,1,1,1,45.2,-123.73,2100,,,2,,M242Ad,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,27069,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12803126010497,12777128010497,1010497,,2005,41,0,71,72315,1,,2005,8,10,,1,1,5,0,45.25,-123.37,1900,,,2,,M242Ad,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26964,1,4,30,1,5,6,0,7,,,,,,,,,7,2
12803348010497,12777128010497,1010497,,2005,41,0,71,70888,1,,2005,9,9,,1,1,1,0,45.31,-123.45,2300,,,2,2,M242Ad,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,26963,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12803573010497,12777128010497,1010497,,2005,41,0,71,94772,1,,2005,8,12,,1,1,5,1,45.4,-123.45,1700,,,2,,M242Ad,4101,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17.5,26963,1,4,30,1,5,6,0,6,,,,,,,,,7,2
12803775010497,12777128010497,117010497,,2005,41,3,35,69572,1,,2005,5,31,,1,1,7,0,42.31,-121.54,4500,,,2,,M261Ga,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26434,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12803954010497,12777128010497,117010497,,2005,41,3,35,84730,1,,2005,5,4,,1,1,5,0,42.27,-121.37,4500,,,2,,M261Ga,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26434,1,4,24,1,5,6,0,7,,,,,,,,,7,2
12804257010497,12777128010497,117010497,,2005,41,3,35,56932,1,,2005,9,10,,1,1,5,0,42.34,-121.23,5900,,,2,,M261Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26322,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12804607010497,12777128010497,117010497,,2005,41,3,35,56137,1,,2005,8,8,,1,1,4,0,42.39,-122.07,4500,,,2,,M261Dh,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26653,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12805271010497,12777128010497,117010497,,2005,41,3,35,85209,1,,2005,5,11,,1,1,1,0,42.44,-121.56,4500,,,2,,M261Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26433,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12805523010497,12777128010497,117010497,,2005,41,3,35,73041,1,,2005,10,26,,1,1,5,0,42.49,-121.75,4900,,,2,2,M242Ce,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16,26543,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12805765010497,12777128010497,117010497,,2005,41,3,35,78294,1,,2005,5,16,,1,1,6,0,42.49,-120.95,5500,,,2,,M242Ce,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26209,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12805979010497,12777128010497,117010497,,2005,41,3,35,67025,1,,2005,7,18,,1,1,2,0,42.54,-122.09,4500,,,2,,M242Be,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,26653,1,4,24,1,5,6,0,5,,,,,,,,,7,2
