CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL
12863699010497,12777128010497,102010497,,2005,41,0,5,88439,1,,2005,5,20,,1,1,2,4,45.300356,-122.191572,1500,,,2,,M242Ba,4103,2,,7,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26532,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12863886010497,12777128010497,102010497,,2005,41,0,5,65141,1,,2005,11,1,,1,1,7,0,45.355123,-121.845614,4300,,,2,,M242Bb,4103,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26421,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12864156010497,12777128010497,102010497,,2005,41,0,5,79521,1,,2005,5,19,,1,1,1,0,45.006735,-122.335932,2900,,,2,,M242Bb,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26533,1,4,30,1,5,6,0,1,,,,,,,,,7,2
12864405010497,12777128010497,102010497,,2005,41,0,5,66345,1,,2005,10,5,,1,1,4,0,45.392382,-122.197173,1100,,,2,2,M242Ba,4103,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26531,1,4,30,1,5,6,0,3,,,,,,,,,7,2
13216599010497,12777128010497,102010497,,2005,41,0,5,81651,1,,2005,5,12,,1,1,4,0,45.305393,-122.686028,300,,,2,, 242Bb,4105,2,,1,,02/27/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26750,1,4,30,1,5,6,0,7,,,,,,,,,7,2
15351559010497,12777128010497,102010497,,2005,41,0,5,59291,2,,2005,9,30,,1,1,,,45.159797,-122.681282,300,,,2,, 242Bb,4105,2,,1,,04/27/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26750,2,1,30,1,5,6,,,,,,,,,,,7,2
15351574010497,12777128010497,102010497,,2005,41,0,5,74264,2,,2005,9,30,,1,1,,,45.321999,-122.37685,300,,,2,, 242Bb,4103,2,,1,,04/27/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26641,2,1,30,1,5,6,,,,,,,,,,,7,2
15351587010497,12777128010497,102010497,,2005,41,0,5,51940,2,,2005,9,30,,1,1,,,45.442058,-122.567122,300,,,2,, 242Bd,4105,2,,1,,04/27/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26641,2,1,30,1,5,6,,,,,,,,,,,7,2
174763196020004,44513109020004,102010497,41119264010497,2013,41,0,5,83348,1,,2013,7,14,10,2,1,3,0,45.258165,-121.737544,3700,2,2,5,,M242Bc,4103,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26310,1,4,30,2,2,3,,5,1,,,2,3,0,,,7,1
174763202020004,44513109020004,102010497,41119071010497,2013,41,0,5,57060,1,,2013,8,27,10.1000003815,2,1,4,0,45.06684,-122.092245,2100,2,2,5,,M242Ba,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,2,2,3,,7,1,,,2,3,0,,,7,1
174763246020004,44513109020004,102010497,41119306010497,2013,41,0,5,80391,1,,2013,10,9,10.1000003815,2,1,7,4,45.114099,-122.16034,1300,2,2,5,,M242Ba,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,3,2,3,,5,1,,,2,3,0,,,7,1
174763247020004,44513109020004,102010497,41119109010497,2013,41,0,5,56655,1,,2013,8,14,10.1000003815,2,1,1,0,45.106962,-121.883032,4300,2,2,5,,M242Bc,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,3,2,3,,7,1,,,2,3,0,,,7,1
174763280020004,44513109020004,102010497,41119124010497,2013,41,0,5,68066,1,,2013,8,24,10,2,1,4,2,45.085683,-122.059805,1300,2,2,5,,M242Ba,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,4,2,3,,5,1,,,2,3,0,,,7,1
174763281020004,44513109020004,102010497,41118998010497,2013,41,0,5,96367,1,,2013,8,23,10,2,1,2,0,45.081625,-121.996662,2100,2,2,5,,M242Ba,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,2,2,3,,1,1,,,2,3,0,,,7,1
174763423020004,44513109020004,102010497,41119127010497,2013,41,0,5,91362,1,,2013,7,10,10,2,1,3,0,45.279427,-121.739672,3900,2,2,5,,M242Bc,4103,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26310,1,4,30,3,2,3,,4,1,,,2,3,0,,,7,1
174763593020004,44513109020004,102010497,41119061010497,2013,41,0,5,73046,1,,2013,9,16,10.1999998093,2,1,2,0,45.156813,-121.741146,3300,2,2,5,,M242Bc,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,3,2,3,,5,1,,,2,3,0,,,7,1
174763709020004,44513109020004,102010497,41119080010497,2013,41,0,5,99177,1,,2013,9,2,10.1000003815,2,1,4,0,45.031321,-121.962229,3300,2,2,5,,M242Bb,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,2,2,3,,3,1,,,2,3,0,,,7,1
174763843020004,44513109020004,102010497,41119160010497,2013,41,0,5,53795,1,,2013,7,16,10,2,1,1,0,45.45227,-121.879855,2900,2,2,5,,M242Bb,4103,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26421,1,4,30,2,2,3,,4,1,,,2,3,0,,,7,1
174763856020004,44513109020004,102010497,,2013,41,0,5,62078,3,3,2013,12,14,,1,1,,,45.185798,-122.195205,1100,,,5,,M242Ba,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26532,1,1,30,2,2,3,,,1,,,2,3,0,,,7,1
174764031020004,44513109020004,102010497,41119139010497,2013,41,0,5,62306,1,,2013,8,19,10,2,1,4,0,44.986822,-122.162093,4700,2,2,5,,M242Bb,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,2,2,3,,3,1,,,2,3,0,,,7,1
174764032020004,44513109020004,102010497,41119227010497,2013,41,0,5,75183,1,,2013,8,13,10,2,1,2,0,44.988072,-121.924539,3700,2,2,5,,M242Bb,4105,6,,1,,04/08/14 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26423,1,4,30,4,2,3,,3,1,,,2,3,0,,,7,1
193208967020004,36857990010497,102010497,,2005,41,0,5,79769,3,3,2009,5,3,,1,1,3,,45.212599,-122.026447,3100,,,2,,M242Bb,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,,26532,1,4,30,2,1,5,,2,,,,,,,,,7,2
193209024020004,40538225010497,102010497,,2007,41,0,5,69117,1,,2007,7,15,,1,1,5,2,45.226619,-121.706285,3300,,,4,,M242Bc,4103,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26310,1,4,30,3,1,7,,4,,,,,,,,,7,2
193209159020004,40538225010497,102010497,,2007,41,0,5,91395,1,,2007,8,28,,1,1,3,0,45.13707,-121.747994,3500,,,4,,M242Bc,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26422,1,4,30,2,1,7,,4,,,,,,,,,7,2
193209178020004,40538225010497,102010497,,2007,41,0,5,96682,1,,2008,9,29,,1,1,9,0,45.066757,-122.159038,2300,,,4,,M242Ba,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,2,1,7,,5,,,,,,,,,7,2
193209239020004,40538225010497,102010497,,2007,41,0,5,81419,1,,2007,8,15,,1,1,2,1,44.907507,-121.889461,2500,,,4,,M242Bb,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26423,1,4,30,2,1,7,,6,,,,,,,,,7,2
193209252020004,40538224010497,102010497,,2006,41,0,5,66137,1,,2006,6,11,,1,1,5,1,45.40175,-121.880825,3100,,,3,,M242Bb,4103,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,17,26421,1,4,30,3,1,6,,7,,,,,,,,,7,2
193209254020004,40538225010497,102010497,,2007,41,0,5,54631,1,,2007,10,13,,1,1,5,0,45.424027,-121.874862,3700,,,4,,M242Bb,4103,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26421,1,4,30,2,1,7,,4,,,,,,,,,7,2
193209256020004,40538225010497,102010497,,2007,41,0,5,86361,1,,2007,10,18,,1,1,1,0,45.306595,-121.879353,1900,,,4,,M242Ba,4103,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26421,1,4,30,2,1,7,,8,,,,,,,,,7,2
193209266020004,40538225010497,102010497,,2007,41,0,5,89930,1,,2007,10,29,,1,1,4,4,44.989491,-121.994182,4500,,,4,,M242Bb,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,4,1,7,,4,,,,,,,,,7,2
193209272020004,40538225010497,102010497,,2007,41,0,5,85340,1,,2007,8,14,,1,1,4,0,45.033672,-121.78731,4300,,,4,,M242Bc,4105,3,,1,,07/23/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26423,1,4,30,2,1,7,,8,,,,,,,,,7,2
216958697020004,208669868020004,102010497,24940922010900,2014,41,0,5,88839,2,,2014,9,1,9.8999996185,2,1,,,45.351357,-122.401039,300,2,2,1,, 242Bb,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,,26641,2,4,30,1,6,5,,,,,,,,,,,7,2
216958882020004,208669868020004,102010497,25133175010900,2014,41,0,5,64603,1,,2014,10,9,10.3000001907,2,1,5,0,44.912448,-121.989057,3300,2,2,1,,M242Ba,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26423,1,4,30,1,6,5,,4,1,,,2,3,0,,,7,2
216958884020004,208669868020004,102010497,24939012010900,2014,41,0,5,97059,1,,2014,9,11,10.1000003815,2,1,2,0,45.111576,-121.85195,3700,2,2,1,,M242Bc,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,1,6,5,,3,1,,,2,3,0,,,7,2
216958888020004,208669868020004,102010497,24941404010900,2014,41,0,5,99408,1,,2014,8,28,9.8000001907,2,1,7,0,45.450779,-121.917055,2900,2,2,1,,M242Bb,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26421,1,4,30,1,6,5,,7,1,,,2,3,0,,,7,2
216958889020004,208669868020004,102010497,24940683010900,2014,41,0,5,97484,1,,2014,8,14,9.8999996185,2,1,6,0,45.306448,-121.916825,2900,2,2,1,1,M242Bb,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26421,1,4,30,1,6,5,,3,1,,,2,3,0,,,7,2
216959022020004,208669868020004,102010497,24940954010900,2014,41,0,5,77439,1,,2014,8,26,9.8999996185,2,1,6,4,45.40688,-122.053694,2100,2,2,1,,M242Ba,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26421,1,4,30,1,6,5,,7,1,,,2,3,0,,,7,2
216959023020004,208669868020004,102010497,24941243010900,2014,41,0,5,93832,1,,2014,8,21,10,2,1,5,0,45.403923,-122.261295,700,2,2,1,,M242Ba,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26531,1,4,30,1,6,5,,3,0,,,2,3,0,,,7,2
216959024020004,208669868020004,102010497,24939456010900,2014,41,0,5,87999,1,,2015,4,7,10.6000003815,2,1,2,0,45.25267,-122.193409,1700,2,2,1,,M242Ba,4103,6.0999999046,,1,,03/07/16 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26532,1,4,30,1,6,5,,7,0,,,2,3,0,,,7,2
216959037020004,208669868020004,102010497,24939626010900,2014,41,0,5,76252,1,,2015,9,30,11,2,1,7,0,45.26311,-122.055946,3300,2,2,1,,M242Ba,4105,6.0999999046,,1,,03/07/16 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26532,1,4,30,1,6,5,,4,1,,,2,3,0,,,7,2
216959038020004,208669868020004,102010497,24939334010900,2014,41,0,5,72388,2,,2014,9,1,9.8999996185,2,1,,,45.209834,-122.399101,1100,2,2,1,, 242Bd,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,,26642,2,4,30,1,6,5,,,,,,,,,,,7,2
216959300020004,208669868020004,102010497,24939965010900,2014,41,0,5,95063,1,,2014,8,11,10,2,1,7,0,45.275739,-121.878067,3300,2,2,1,,M242Bb,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,1,6,5,,5,1,,,2,3,0,,,7,2
216960214020004,208669868020004,102010497,24937662010900,2014,41,0,5,71384,1,,2014,7,9,9.8000001907,2,1,2,1,45.012998,-122.407206,2900,2,2,1,1,M242Ba,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26642,1,4,30,1,6,5,,4,0,,,2,3,0,,,7,2
216960277020004,208669868020004,102010497,24938829010900,2014,41,0,5,55479,1,,2014,9,12,10,2,1,4,0,45.105634,-121.718386,3500,2,2,1,,M242Bc,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26422,1,4,30,1,6,5,,1,0,,,2,3,0,,,7,2
216960384020004,208669868020004,102010497,24938144010900,2014,41,0,5,78599,1,,2014,10,22,10.1999998093,2,1,4,0,45.086744,-122.025249,1900,2,2,1,,M242Ba,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,1,6,5,,8,1,,,2,3,0,,,7,2
216960385020004,208669868020004,102010497,24937337010900,2014,41,0,5,51656,1,,2014,9,10,10.1999998093,2,1,4,0,44.962783,-121.847417,2900,2,2,1,,M242Bc,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26423,1,4,30,1,6,5,,8,1,,,2,3,0,,,7,2
216960503020004,208669868020004,102010497,24938506010900,2014,41,0,5,54491,1,,2015,10,1,11.1000003815,2,1,4,0,45.112991,-122.198381,4100,2,2,1,,M242Bb,4105,6.0999999046,,1,,03/07/16 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,1,6,5,,3,1,,,2,3,0,,,7,2
216960589020004,208669868020004,102010497,24940309010900,2014,41,0,5,57150,1,,2014,8,27,10.1000003815,2,1,4,4,45.28413,-121.712126,3700,2,2,1,,M242Bc,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26310,1,4,30,1,6,5,,5,1,,,2,3,0,,,7,2
216960984020004,208669868020004,102010497,24939318010900,2014,41,0,5,52260,2,,2014,9,1,9.8999996185,2,1,,,45.175569,-122.711827,100,2,2,1,, 242Bb,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,,26750,2,4,30,1,6,5,,,,,,,,,,,7,2
216961009020004,208669868020004,102010497,25132910010900,2014,41,0,5,71433,1,,2014,10,8,10.3000001907,2,1,6,9,44.938743,-122.163562,2700,2,2,1,,M242Bb,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26533,1,4,30,1,6,5,,1,1,,,2,3,0,,,7,2
216961098020004,208669868020004,102010497,24938007010900,2014,41,0,5,84832,1,,2014,8,25,9.6999998093,2,1,4,0,45.052794,-122.537027,1500,2,2,1,,M242Ba,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26642,1,4,30,1,6,5,,4,0,,,2,3,0,,,7,2
216961326020004,208669868020004,102010497,24939350010900,2014,41,0,5,84296,1,,2014,8,19,9.6999998093,2,1,1,0,45.242762,-122.560739,500,2,2,1,, 242Bd,4103,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26641,1,4,30,1,6,5,,3,0,,,2,3,0,,,7,2
216961370020004,208669868020004,102010497,12860518010497,2014,41,0,5,50558,1,,2014,10,27,9,2,1,4,1,44.903027,-122.335241,1900,2,2,1,,M242Bb,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26643,1,4,30,1,6,5,,5,0,,,2,3,0,,,7,2
216961684020004,208669868020004,102010497,24937823010900,2014,41,0,5,71111,1,,2014,10,29,9.8999996185,2,1,4,1,45.055922,-122.339134,2900,2,2,1,,M242Ba,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,15.5,26642,1,4,30,1,6,5,,4,0,,,2,3,0,,,7,2
216961740020004,208669868020004,102010497,24940938010900,2014,41,0,5,53954,2,,2014,9,1,9.8999996185,2,1,,,45.403065,-122.612411,300,2,2,1,, 242Bb,4105,6,,1,,02/17/15 12:00 AM,489998,,08/08/17 12:00 AM,489998,OFFSET,,26641,2,4,30,1,6,5,,,,,,,,,,,7,2
22825229010497,5867229010901,102010497,,2007,41,0,5,94593,1,,2008,9,11,,1,1,6,1,45.208184,-121.920272,4100,,,4,,M242Bb,4103,3,,1,,04/25/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26422,1,4,30,1,5,8,0,4,,,,,,,,,7,2
22825287010497,5867229010901,102010497,,2007,41,0,5,61684,1,,2008,9,29,,1,1,7,0,45.349729,-121.773011,4700,,,4,,M242Bc,4103,3,,1,,04/25/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26421,1,4,30,1,5,8,0,1,,,,,,,,,7,2
22825569010497,40538225010497,102010497,,2007,41,0,5,86650,1,,2007,11,8,,1,1,4,1,44.89405,-122.196648,3700,,,4,,M242Bb,4105,3,,1,,01/30/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,2,1,7,,4,,,,,,,,,7,2
22825687010497,40538225010497,102010497,,2007,41,0,5,88756,1,,2007,11,7,,1,1,4,0,44.961798,-122.101026,2900,,,4,,M242Ba,4105,3,,1,,01/30/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,2,1,7,,3,,,,,,,,,7,2
22825776010497,40538225010497,102010497,,2007,41,0,5,95953,1,,2007,11,10,,1,1,5,1,44.984431,-122.130745,3100,,,4,,M242Ba,4105,3,,1,,01/30/13 12:00 AM,20004,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,3,1,7,,4,,,,,,,,,7,2
22932603010497,29361193010497,102010497,,2008,41,0,5,82280,1,,2008,10,15,,1,1,2,0,44.911727,-122.198601,2900,,,5,,M242Bb,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,1,5,9,0,4,,,,,,,,,7,2
22932611010497,29361193010497,102010497,,2008,41,0,5,60654,1,,2008,8,12,,1,1,5,4,44.92985,-122.371098,2300,,,5,,M242Ba,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26643,1,4,30,1,5,9,0,6,,,,,,,,,7,2
22932612010497,29361193010497,102010497,,2008,41,0,5,51513,1,,2008,9,28,,1,1,6,0,44.911826,-121.85496,4500,,,5,,M242Bc,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26423,1,4,30,1,5,9,0,3,,,,,,,,,7,2
22932622010497,29361193010497,102010497,,2008,41,0,5,97699,1,,2008,10,30,,1,1,4,0,44.965708,-122.06003,2100,,,5,,M242Ba,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,1,5,9,0,4,,,,,,,,,7,2
22932639010497,29361193010497,102010497,,2008,41,0,5,57160,3,2,2008,4,18,,1,1,1,0,45.028092,-122.566613,1500,,,5,,M242Ba,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26642,1,1,30,1,5,9,0,7,,,,,,,,,7,2
22932649010497,29361193010497,102010497,,2008,41,0,5,88884,1,,2008,6,5,,1,1,4,4,45.104055,-122.409492,1900,,,5,,M242Ba,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26642,1,4,30,1,5,9,0,4,,,,,,,,,7,2
22932650010497,29361193010497,102010497,,2008,41,0,5,88625,1,,2008,9,29,,1,1,7,1,45.06193,-122.199248,2500,,,5,,M242Bb,4105,3,,1,,06/06/09 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,16.5,26533,1,4,30,1,5,9,0,5,,,,,,,,,7,2
