SOURCE,TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.44783578899288123
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,25.802690592230704
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.3643068680020623
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-20.76367254812876
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.2931612301124459
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,140.85347905801302
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.0456654155633944
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,108.43136887556891
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.57478752214271
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,68.44328573246406
lidar,Coast Range,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.9940262994338874
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,118.32572054452032
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7184867275436602
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,91.58524408125844
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.3301252311687515
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,71.92162011121397
lidar,Coast Range,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.0445433927279992
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,15.941912100465759
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.394162206532369
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,12.615144844272756
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.31190821378313294
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,2.6895903186914043
sentinel,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.06649985572637354
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,17.7785485793126
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.43957286257776024
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,14.716054743862525
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.36385300412756144
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,7.9693331545633255
sentinel,Eastern Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.1970409773305971
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,49.93775668441236
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,1.1579593937990484
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,38.71861236119293
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.8978092704853528
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-10.143096292068112
lidar,Eastern Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.23519866356501268
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,52.59427534716358
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.2195588917455682
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,34.89934450547482
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.8092478815765074
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,1.419735413672644
lidar,Eastern Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.03292090130040974
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,25.773635422782544
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.43533002443853297
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,20.40605787970045
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.34466886528594576
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-15.280867724809916
sentinel,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.2581017544076563
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,30.00065046373557
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.506726493384219
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,24.10493319016533
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.4071447811932687
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-20.055021641887446
sentinel,Klamath Mountains,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.3387396817819817
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,129.44375018739626
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.5450299336046376
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,95.96476879629351
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.886790276119456
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,94.19023380223793
lidar,Klamath Mountains,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-1.8519006451286804
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,117.87715070539338
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,2.317615772093582
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,86.24545163286689
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.695696051181537
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,83.1792566973013
lidar,Klamath Mountains,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.6354107312492567
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,24.62250898832916
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.4248183270595635
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,19.880451111282795
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.343002412397848
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-9.744141217390853
sentinel,North Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.16811811390001727
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,26.070622018949432
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.449802984608185
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,21.343930729176694
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.36825219353323685
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,7.927949516785361
sentinel,North Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.136782902681843
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,100.74501609254156
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,1.6479732144875374
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,81.41598871081031
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.3317916243438688
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,3.2740766112397224
lidar,North Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.05355689806577577
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,106.29096725116449
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7386931261293335
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,80.03215757933033
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.3091551036850386
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,26.190499268863174
lidar,North Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.42842061020165234
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,17.057600962577464
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.44708673800712684
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,13.031232819268004
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.3415539726928636
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-2.164094729082971
sentinel,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.056721813066608624
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,18.80228690012838
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.49281567412058364
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,15.349219654278237
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.40230936116055077
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,7.462572721276162
sentinel,Northern Rockies,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.1955971008124804
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,67.51468604123703
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,1.705938533804276
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,63.98646780788315
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.6167886940749918
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-57.27163709375235
lidar,Northern Rockies,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,1.4471205946601235
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,46.76154011052945
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.1815549749555623
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,42.96588254541239
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.0856475675286215
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-34.47510235881985
lidar,Northern Rockies,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.8711053700943775
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,29.400097171871465
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.4308468431877672
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,24.392191347426948
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.3574579559732081
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-20.937095010705825
sentinel,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.30682488014071907
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,24.53204836026243
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3595075054058368
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,19.762455030880346
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.28961099393376627
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-11.079108314834139
sentinel,Puget Lowland,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.1623599682299207
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,150.8686246928859
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.2427379319612584
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,94.27624141381945
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.4014637114371462
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,33.936375776485164
lidar,Puget Lowland,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.5044812821893736
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,115.0049358514073
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7096061724017604
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,67.58690709494205
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.0047133428460002
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,43.30126711237871
lidar,Puget Lowland,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.6436950986502734
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,22.68448223561413
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3543813888487034
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,18.783802099933705
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.2934442059066677
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-17.768610848938575
sentinel,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.27758469094229776
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,30.31443360358167
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.4735779715409598
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,27.409765554661877
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.42820068293330643
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-26.434339076413522
sentinel,Willamette Valley,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.4129623809746771
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,199.33681703239614
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,3.079943633630267
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,156.79180145872013
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,2.422582631234267
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,149.40320401501742
lidar,Willamette Valley,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-2.3084217652338297
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,36.66691118482745
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.5665386923994179
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,33.0522164578537
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.5106882169197661
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,28.279468333845042
lidar,Willamette Valley,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.4369447137460786
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,19.937387066967805
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.6350135701072367
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,13.791758581031207
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.43927290096644067
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-4.973316723016092
sentinel,Blue Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.15840208132332648
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,21.275803307404423
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.6776426504513353
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,15.97182349648113
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.5087088205468459
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-12.501594564090952
sentinel,Blue Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.39818067279886443
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,22.648304579573033
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.8516771917109637
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,21.010402576314615
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.7900847765466499
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,20.7261196485066
lidar,Blue Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.7793944714619474
lidar,Blue Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,29.371017120538905
lidar,Blue Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,1.1044811452013237
lidar,Blue Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,27.52346885894696
lidar,Blue Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,1.0350050963670863
lidar,Blue Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,27.52346885894696
lidar,Blue Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.0350050963670863
sentinel,Coast Range,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,17.87950501583648
sentinel,Coast Range,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.2524398163231795
sentinel,Coast Range,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,13.546079742266311
sentinel,Coast Range,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.19125640665152768
sentinel,Coast Range,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-1.0237544938032777
sentinel,Coast Range,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.014454337306699667
sentinel,Coast Range,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,20.171846821633864
sentinel,Coast Range,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2848052729671348
sentinel,Coast Range,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,16.505028726563886
sentinel,Coast Range,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.23303365593466688
sentinel,Coast Range,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-11.43907310492082
sentinel,Coast Range,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.16150768776629562
lidar,Coast Range,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,14.741415361119218
lidar,Coast Range,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.21409484367990841
lidar,Coast Range,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,11.594592085113895
lidar,Coast Range,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.16839240460871832
lidar,Coast Range,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-3.8455319753065527
lidar,Coast Range,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.055850035220555476
lidar,Coast Range,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,17.78373702764674
lidar,Coast Range,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2582795685291346
lidar,Coast Range,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,14.395801702114525
lidar,Coast Range,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.2090753729923507
lidar,Coast Range,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-10.265642411692506
lidar,Coast Range,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.14909159355226792
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,19.98242755086039
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.49406355308471556
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,15.749828511421386
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.38941295871195386
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,3.986072538269397
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.0985552509122443
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,18.57126275423246
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.45917264247660755
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,14.063917426151786
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.3477289731775065
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-4.2056640765670545
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.10398463006863252
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,22.04054261243558
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.5110772901511711
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,18.76523490919017
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.4351292785790121
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,16.16287154489264
lidar,Eastern Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.37478553661217606
lidar,Eastern Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,17.583762779393297
lidar,Eastern Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.40773323914824816
