UUID,LIDAR_YEAR,LIDAR_ACQ,STRAT0_RETURN-PROPORTION,STRAT1_RETURN-PROPORTION,STRAT2_RETURN-PROPORTION,STRAT3_RETURN-PROPORTION,STRAT4_RETURN-PROPORTION,STRAT5_RETURN-PROPORTION,HEIGHT_05-PERCENTILE,HEIGHT_25-PERCENTILE,HEIGHT_50-PERCENTILE,HEIGHT_75-PERCENTILE,HEIGHT_95_PERCENTILE,LIDAR_COVER,POTENTIAL_VOLUME,STDDEV_HEIGHT,SURFACE_VOLUME,KURTOSIS,SKEWNESS,ASPECT,ELEVATION,SLOPE,YEAR,TPA,BA,SDI,CCF,QMD,TCUFT,TOPHT,NUMBER_OF_STRATA,TOTAL_COVER,STRUCTURE_CLASS,CANOPY_BASEHEIGHT,CANOPY_BULKDENSITY,ABOVEGROUND_BIOMASS,ABOVEGROUND_CARBON,ABOVEGROUND_LIVE_CARBON,GS_TPA,AF,AS,BM,BO,CH,CW,DF,DG,ES,GC,GF,IC,JP,KP,LO,LP,MA,MC,MH,NF,OH,OS,OT,PC,PL,PP,PY,RA,RC,RF,SF,SH,SP,SS,TO,WA,WB,WF,WH,WI,WJ,WL,WO,WP,YC,TRUE_FIR,OTHER_HARDWOOD,MAPLE,OAK,DOUGLAS_FIR,SPRUCE,CEDAR,PONDEROSA_PINE,OTHER_SOFTWOOD,LODGEPOLE_PINE,HEMLOCK,RED_ALDER,TANOAK,JUNIPER,LARCH,YEAR_DIFF,LAT,LON,ECOREGION3,AGENCY,DISTANCE_TO_WATER_M,PLOT_SIZE_AC,MEAS_YR,SAT_YEAR,LT_YSD_NBR,LT_YSD_SWIR1,WEIGHTS
01a041aa,2015,upper-rogue_2015,0.099613,0.019409,0.321174,0.435198,0.027245,0.014771,0.0,6.07,9.66,13.22,19.27,88.097811,2505.0,4.141122817993163,1338.544189453125,8.99582,1.471393,198.0742034912109,1118.351318359375,14.62950038909912,2016,580.0,153.0,323.0,178.0,6.948400970914562,4319.0,81.0,3.0,52.0,6=OM,5.0,0.129532,71.0,32.0,32.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,49.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.579855913905845,-122.38157522085308,cascades,USFS,115.7821669,0.25,2016,2015.0,30.0,28.0,66
01aa0b83,2012,hoh-river_2012,0.055704,0.015725,0.026386,0.298774,0.42484,0.153518,0.05,16.477498999999998,21.145,26.327499,34.572498,92.857143,3906.000244140625,7.664840221405028,2529.970947265625,3.114394,-0.485296,195.8447570800781,189.1454467773437,45.44124984741211,2013,150.0,299.0,424.0,318.0,19.113468074095252,14849.0,123.0,2.0,73.0,6=OM,28.0,0.0763235,215.0,98.0,98.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,1.0,47.68220503422537,-124.31314407823947,coast_range,WADNR,43.80632406,0.1,2013,2012.0,27.0,27.0,11
01aed70d,2014,willapa-delivery2_2014,0.053324,0.020033,0.0734539999999999,0.799284,0.032808,0.0,0.08,12.19,15.19,17.209999,19.51,92.664279,2148.0,2.2358713150024414,1677.0819091796875,4.392565,-1.3912790000000002,232.8040008544922,461.4671936035156,23.91024971008301,2015,250.0,179.0,311.0,241.0,11.458673557289927,3762.0,58.0,1.0,73.0,2=SE,24.0,0.214626,72.0,33.0,33.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,46.59182484114833,-123.39968688646952,coast_range,WADNR,17.39165372,0.1,2015,2014.0,29.0,28.0,13
01bd3f24,2015,klickitat_2015,0.716116,0.039463,0.018595,0.13719,0.07438,0.0,0.0,0.0,0.0,0.7125,21.720999,24.442149,2637.0,6.544310092926025,421.9874572753906,3.8531199999999997,1.570941,245.5287933349609,1008.2943725585938,3.3257999420166016,2015,40.0,63.0,94.0,49.0,16.979104713498547,2109.0,79.0,1.0,21.0,2=SE,44.0,0.0214502,34.0,15.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.08643903022715,-121.36011043695824,eastern_cascades_slopes_and_foothills,WADNR,406.1863719,0.1,2015,2015.0,7.0,7.0,106
01e3ace7,2011,pierce_2011,0.213157,0.248806,0.012128,0.019478,0.076442,0.371922,0.0,0.22,1.84,34.700001,40.869999,53.803749,4091.5,13.929716110229492,1888.610107421875,1.230957,0.280926,253.10189819335935,515.3960571289061,5.552299976348877,2016,130.0,162.0,253.0,185.0,15.131805590560226,7871.0,152.0,2.0,52.0,3=UR,74.0,0.0708827,128.0,58.0,58.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,5.0,46.77263844902672,-122.15767159904505,cascades,WADNR,177.7858757,0.1,2016,2011.0,26.0,21.0,72
01e9ed92,2016,mt-adams_2016,0.089762,0.071088,0.105842,0.253649,0.184463,0.233667,0.0,6.36,16.549999,29.08,37.549999,83.91503,3891.999755859375,6.357948780059815,1830.9853515625,1.75023,0.139191,206.12319946289065,596.3475341796875,12.026900291442873,2018,772.0,254.0,515.0,327.0,7.769503254907319,9970.0,132.0,2.0,77.0,3=UR,7.0,0.119783,169.0,76.0,76.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,46.05903284,-121.9544979,cascades,USFS,407.9706978,0.25,2018,2016.0,31.0,19.0,349
020bff70,2013,tulalip_2013,0.049335,0.146066,0.106863,0.237776,0.171351,0.208175,0.15,3.46,15.05,27.634998,42.505001,80.45987099999998,4174.0,11.416259765625,1551.1947021484375,2.370374,0.556366,245.98809814453125,516.4168701171875,11.47189998626709,2016,80.0,198.0,269.0,165.0,21.304002420767308,9698.0,114.0,1.0,60.0,5=OS,15.0,0.0360673,188.0,85.0,85.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,3.0,48.08247453553521,-121.54141402155038,north_cascades,USFS,266.13104730000003,0.25,2016,2013.0,28.0,28.0,0
02177673,2012,chehalis_2012,0.100601,0.050219,0.046481,0.082561,0.062409,0.5967819999999999,0.0,9.34,34.290001000000004,40.810001,47.130001,84.917926,4969.0,9.758708000183104,3498.411376953125,1.699756,-0.522176,53.49074935913086,141.5133514404297,12.669849395751951,2013,140.0,320.0,442.0,357.0,20.459838472752068,15617.0,173.0,2.0,79.0,6=OM,33.0,0.0623569,254.0,115.0,115.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,15.0,63.0,0.0,0.0,0.0,1.0,46.83920058263492,-123.33911284924744,coast_range,WADNR,148.8477928,0.1,2013,2012.0,27.0,27.0,3
02297a4c,2012,hoh-river_2012,0.191552,0.050309,0.057573,0.165187,0.310734,0.17837,0.0,2.09,19.379999,27.74,36.641998,75.813828,3312.5,6.470316886901856,1681.990234375,1.672954,-0.053209000000000006,298.7479248046875,62.221900939941406,14.501350402832031,2013,290.0,325.0,516.0,425.0,14.3261997016443,13092.0,103.0,2.0,86.0,3=UR,15.0,0.115778,180.0,82.0,82.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,113.0,36.0,0.0,0.0,0.0,1.0,47.79537539333731,-124.25170877023184,coast_range,WADNR,21.43302886,0.1,2013,2012.0,27.0,14.0,20
022a14ed,2011,thurston_2011,0.118562,0.047425,0.0,0.04717,0.5020399999999999,0.279704,0.0,21.5,27.110001,30.33,35.060001,83.401326,3870.0,4.532020568847656,2909.9296875,3.177711,-1.2270370000000002,45.9228515625,499.8153991699219,19.401599884033203,2013,110.0,164.0,246.0,192.0,16.520235296169535,6585.0,127.0,1.0,53.0,1=SI,63.0,0.0940601,110.0,50.0,50.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.98054924382755,-123.12854752736853,coast_range,WADNR,77.78173096,0.1,2013,2011.0,26.0,26.0,30
0238aa2c,2017,king-county_2016-2017,0.040067,0.136564,0.361351,0.19623,0.0,0.0,0.23,2.52,5.77,9.09,14.11,82.336838,1723.0,3.226957559585572,1001.4992065429688,2.383334,0.467228,275.068603515625,1058.806884765625,11.582200050354006,2017,449.0,119.0,252.0,149.0,6.984174775892466,2167.0,73.0,1.0,79.0,2=SE,2.0,0.185936,45.0,20.0,20.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,47.20053380490173,-121.6756407708333,cascades,WADNR,214.0567469,0.1,2013,2017.0,32.0,23.0,70
023cdca4,2015,upper-rogue_2015,0.132472,0.067346,0.209584,0.216728,0.095574,0.055145,0.0,2.28,6.84,14.07,30.59,80.018194,3130.0,8.547389030456543,1280.83251953125,3.4247910000000004,1.116644,323.5111999511719,1365.833984375,6.6487998962402335,2016,120.0,115.0,188.0,87.0,13.248824064818717,3498.0,87.0,1.0,30.0,1=SI,19.0,0.0978736,80.0,36.0,36.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.41940766604646,-122.39177649259206,cascades,USFS,266.8942902,0.25,2016,2015.0,30.0,12.0,17
0242fa58,2016,loomis-loup-loup_2016,0.249208,0.060222,0.153196,0.222002,0.043714,0.0,0.0,0.15,3.04,10.592501,19.397001,69.057052,1567.5,3.886552333831787,620.8626708984375,3.172684,1.03649,82.28364562988281,1127.4166259765625,13.579950332641602,2018,100.0,63.0,112.0,81.0,10.740670096486136,1417.0,68.0,2.0,33.0,3=UR,5.0,0.0274545,27.0,12.0,12.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.72391910066149,-119.71003366008388,north_cascades,WADNR,148.44811299999998,0.1,2018,2016.0,31.0,26.0,55
024aff64,2013,olympic-peninsula_2013,0.062032,0.045348,0.099465,0.450695,0.288342,0.000214,0.0,9.64,15.56,20.654999,24.863001,89.26203199999998,2755.0,5.42604923248291,1794.657470703125,2.182293,-0.423016,157.83274841308594,257.47195434570307,26.453147888183597,2017,120.0,147.0,229.0,141.0,14.97083260826126,4453.0,84.0,1.0,68.0,1=SI,13.0,0.0690209,73.0,33.0,33.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,4.0,47.68761351345624,-124.25727570000466,coast_range,WADNR,31.45167742,0.1,2017,2013.0,13.0,17.0,8
