uuid,lat,lon,orig_id,source,meas_yr,ecoregion3,agency,plot_size_ac,bulk_dens,soil_depth,pct_clay_surf,pct_rock_surf,pct_sand_surf,distance_to_water_m,pot_veg_type
0203859a,46.48524128807984,-121.09381765071768,0203859a-2242-4b98-a48b-b9effbe35024,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,140.8319972,1018
020bff70,48.08247453553521,-121.54141402155038,60502000450001,USFS-MOUNT-BAKER-SNOQUALMIE,2016,north_cascades,USFS,0.25,126,123.0,14,38,52,266.13104730000003,1042
020c1969,48.05340918,-120.70559689999999,61705001480001,USFS-WENATCHEE,2018,north_cascades,USFS,0.25,73,152.0,15,22,54,276.18442819999996,1045
02177673,46.83920058263492,-123.33911284924743,02177673-23f2-47b0-8b13-9c55c6066cd1,WA-DNR,2013,coast_range,WADNR,0.1,120,154.0,22,7,26,148.8477928,1039
0228e3ed,48.64523704123527,-122.0812001258201,0228e3ed-e7a0-4053-ac38-4abe9c84e214,WA-DNR,2014,north_cascades,WADNR,0.1,102,113.0,14,17,37,43.78086737,1042
02297a4c,47.79537539333731,-124.25170877023184,02297a4c-b41d-4f78-ae79-b48a9ccfa678,WA-DNR,2013,coast_range,WADNR,0.1,104,160.0,14,3,37,21.43302886,1036
022a14ed,46.98054924382755,-123.12854752736851,022a14ed-855d-4164-a6ae-dba404d2d943,WA-DNR,2013,coast_range,WADNR,0.1,95,130.0,19,8,16,77.78173096,1037
0238aa2c,47.20053380490173,-121.6756407708333,0238aa2c-b97a-4ee9-bdd9-2d3d69619e7e,WA-DNR,2013,cascades,WADNR,0.1,92,127.0,13,24,42,214.0567469,1042
023cdca4,42.41940766604646,-122.39177649259206,061020000130001,USFS-ROGUE,2016,cascades,USFS,0.25,131,126.0,25,37,28,266.8942902,1028
0242fa58,48.72391910066149,-119.71003366008388,0242fa58-e729-4de7-859b-26523f61f156,WA-DNR,2018,north_cascades,WADNR,0.1,112,161.0,12,19,39,148.44811299999998,1045
024aff64,47.68761351345624,-124.25727570000466,024aff64-2e0a-4abd-bf4f-e8d23c267119,WA-DNR,2017,coast_range,WADNR,0.1,110,87.0,28,45,19,31.45167742,1036
024c8fd9,43.098487224845655,-123.87339620719301,101-20,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,374.3388457,1039
026181b1,44.31398694163657,-123.69913610831652,43-13,BLM-LANE,2017,coast_range,BLM,0.125,103,113.0,23,16,33,281.92591760000005,1039
026a8fdb,48.80994021740663,-119.88200173069846,026a8fdb-e2c6-4728-a01e-7cc0053384dd,WA-DNR,2017,north_cascades,WADNR,0.1,126,152.0,15,40,47,35.93745452,1055
026fb508,43.54427609962744,-123.73613997727531,42-16,BLM-COOS,2011,coast_range,BLM,0.125,119,134.0,38,4,14,91.54521923,1039
027db1f2,45.83596815,-122.0526181,60303000170001,USFS-GIFFORD-PINCHOT,2018,cascades,USFS,0.25,113,152.0,28,16,24,145.9537052,1174
027e287e,43.278813094642246,-123.9349048802368,82-18,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,350.7706515,1039
02a969be,46.48196998015201,-121.12771135567003,02a969be-b717-4200-8bd0-c0e2d20dc788,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,49.1858648,1056
02c7f3fe,46.27073003931317,-122.49666239169956,02c7f3fe-3a65-4f83-9631-4240c86246ea,WA-DNR,2017,cascades,WADNR,0.1,90,101.0,18,25,22,2.378618655,1042
02d2eb97,42.91736015479923,-123.76518296888116,12-20,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,355.18139080000003,1037
02d42f77,43.578380556488746,-122.61729543116434,61501002110001,USFS-UMPQUA,2016,cascades,USFS,0.25,84,103.0,16,28,32,333.6351106,1174
02d71210,48.02273053,-120.6776318,61705001210001,USFS-WENATCHEE,2018,north_cascades,USFS,0.25,73,152.0,14,38,52,310.5814211,1018
02d7873f,43.078117271395904,-124.00514051977456,53-28,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,284.4733639,1039
02e25bb8,46.06275991999999,-121.66431099999998,60303001290001,USFS-GIFFORD-PINCHOT,2018,cascades,USFS,0.25,125,139.0,19,26,34,63.17048732,1018
02e702cb,43.33613461558528,-123.73135324236932,63-18,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,23.04553885,1039
02f46eba,42.3022674517031,-123.4113706497893,31-01,BLM-ROGUE,2013,klamath_mountains_california_high_north_coast_range,BLM,0.125,132,83.0,41,47,19,309.87476760000004,1027
02f67897,42.15249703528107,-124.29524478940037,13-23,BLM-COOS,2011,klamath_mountains_california_high_north_coast_range,BLM,0.125,110,147.0,26,7,16,261.8656301,1043
02fd0d63,48.504754921422425,-119.78103701458285,02fd0d63-ef7b-4bb1-9dd2-a35a55cce754,WA-DNR,2017,north_cascades,WADNR,0.1,112,161.0,12,19,39,61.01719777,1053
0304ebb7,43.61601616904062,-123.85172253960613,63-01,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,31.62071618,1039
031f029b,45.62486742619945,-118.07732473199304,061406LIDAR0125,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,106,118.0,18,22,16,232.28412590000002,1045
034947d2,46.230881059821265,-122.34191360950278,034947d2-965e-4944-93d8-7bd8fd82b5df,WA-DNR,2018,cascades,WADNR,0.1,91,147.0,16,15,40,130.19899999999998,1042
0349b980,42.9397008231661,-122.53862746166978,061024001040001,USFS-ROGUE,2016,cascades,USFS,0.25,84,103.0,16,28,32,84.10722364,1028
034bac90,43.18834562837155,-123.90407910311244,82-28,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,354.33716749999996,1039
036524b1,43.54984273162969,-121.27135479089334,060105690830268,USFS-BLUE-MOUNTAINS,2015,eastern_cascades_slopes_and_foothills,USFS,0.25,87,152.0,4,9,77,7733.151206999999,1053
0372042b,45.92327955713981,-117.74119595158079,061406811950184,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,96,130.0,15,23,24,407.0352835,1047
03810871,47.85338391019024,-124.41792820716537,03810871-4c98-433a-93a7-cdd0b410354a,WA-DNR,2014,coast_range,WADNR,0.1,104,138.0,22,15,26,147.1767049,1036
03857edc,47.96742289099762,-117.05170402433086,03857edc-84f2-47cb-8c0c-b9a0972f7770,WA-DNR,2015,northern_rockies,WADNR,0.1,86,120.0,16,6,24,367.6667355,1047
038a90a4,43.260356011833814,-123.89961046166664,73-08,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,189.8402261,1039
039a121b,47.630827828205355,-124.28025037592974,039a121b-1350-4280-b2a4-7048a4be711d,WA-DNR,2017,coast_range,WADNR,0.1,104,160.0,14,3,37,12.57231725,1157
03aa05cc,43.198248410667375,-123.9186703343862,61-08,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,188.9638078,1039
03b20025,47.579188063172346,-123.04183900490581,03b20025-8431-44a0-888c-1dfd05010a85,WA-DNR,2015,coast_range,WADNR,0.1,126,80.0,10,51,49,146.7635115,1039
03bfcc90,46.7172063812875,-122.06065183639552,03bfcc90-607b-49a2-a2c2-222fe036f5e3,WA-DNR,2015,cascades,WADNR,0.1,75,144.0,8,36,80,204.6938873,1042
03c0232e,43.249133247395136,-124.08652258153403,62-13,BLM-COOS,2010,coast_range,BLM,0.125,119,134.0,38,4,14,155.0637374,1039
03d7daa8,44.09830167791822,-122.49501148405984,62-07,BLM-LANE,2017,cascades,BLM,0.125,116,132.0,27,31,25,200.76318,1039
03e06374,42.742630528926306,-123.02323652260017,61501000330001,USFS-UMPQUA,2016,klamath_mountains_california_high_north_coast_range,USFS,0.25,144,112.0,13,16,60,445.97432180000004,1037
03f6772b,43.82480887645818,-123.56452470363439,41-14,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,140.80346919999997,1039
040f7690,42.947151934383484,-123.97066689606395,72-30,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,318.38811719999995,1039
041d778b,47.769407595499615,-121.83670393796997,041d778b-115d-4536-9993-0e1baf1db20a,WA-DNR,2014,puget_lowland,WADNR,0.1,102,113.0,14,17,37,5.92914513,1178
0423bf55,42.248805879217464,-122.9962813191371,11-09,BLM-ROGUE,2013,klamath_mountains_california_high_north_coast_range,BLM,0.125,140,102.0,24,31,27,499.3748612,1027
042ad8f1,47.27367909382705,-120.31470102323412,042ad8f1-02a3-49f3-b258-f6090b9a7cd7,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,125,141.0,17,13,36,41.57928525,1053
042b1f1e,44.63388501741024,-118.22426448203305,061601780680084,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,106,118.0,18,22,16,133.0191834,1045
0433fa20,43.603990082387,-123.77218899411494,33-26,BLM-COOS,2010,coast_range,BLM,0.125,119,134.0,38,4,14,392.78545289999994,1039
0451d8aa,43.78950131690175,-123.60435549538293,41-01,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,214.2244389,1039
04530f04,45.92490263418388,-121.12870713657365,04530f04-7687-4a37-91f2-f3b619e4a0c4,WA-DNR,2017,eastern_cascades_slopes_and_foothills,WADNR,0.1,129,150.0,23,8,33,16.19762327,1045
045e81ac,47.10391706,-121.0179518,61703001650001,USFS-WENATCHEE,2018,eastern_cascades_slopes_and_foothills,USFS,0.25,130,75.0,24,41,29,233.90701409999997,1018
046d54d6,45.87533539051832,-117.6401064509621,061405673260289,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,131,85.0,22,37,24,641.6153177,1045
048f2963,43.705098566469076,-121.95182743964321,060105708260243,USFS-BLUE-MOUNTAINS,2015,cascades,USFS,0.25,98,137.0,9,28,52,916.5677142999999,1041
04a79eba,44.20937831197841,-123.63538245441417,33-04,BLM-LANE,2017,coast_range,BLM,0.125,79,117.0,19,18,28,206.1710835,1039
04a8f23c,43.847409970837546,-123.41624288522155,32-03,BLM-LANE,2017,coast_range,BLM,0.125,103,113.0,23,16,33,297.03756810000004,1039
04b152b7,42.998488137235846,-123.85291552971029,82-14,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,83.30280745,1037
04cd56a7,47.999498744674064,-122.95828320395543,04cd56a7-3817-4531-9c08-d8665cb9228e,WA-DNR,2016,puget_lowland,WADNR,0.1,133,137.0,14,43,33,180.93499580000002,1039
04cec3e8,47.831749802084715,-124.41318992674077,04cec3e8-e50d-4836-8f85-e4ed424efbff,WA-DNR,2013,coast_range,WADNR,0.1,110,87.0,28,45,19,164.5046831,1036
04daa638,43.602708990000004,-122.6353389,61501003030001,USFS-UMPQUA,2018,cascades,USFS,0.25,84,103.0,16,28,32,76.02027059999999,1158
04dfdd04,42.99840574352681,-123.88488176568657,62-02,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,267.0849943,1039
04e732cc,47.513025847176046,-123.15340503157537,04e732cc-f9fd-4bbc-baf7-d3bf4b56fe4e,WA-DNR,2015,coast_range,WADNR,0.1,126,80.0,10,51,49,343.68151739999996,1039
04ed9cec,44.033366018294146,-123.43762215861024,42-13,BLM-LANE,2018,willamette_valley,BLM,0.125,126,112.0,38,8,15,289.74777810000006,1037
04fa1126,43.022114626054645,-123.75293982849702,81-01,BLM-COOS,2010,klamath_mountains_california_high_north_coast_range,BLM,0.125,125,156.0,41,1,10,121.8389784,1043
04fc5e62,43.10230548097585,-124.04899564076028,92-02,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,112.03621470000002,1039
05014879,43.30690220195476,-123.90455011712162,103-30,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,235.8940412,1178
054efd70,45.80651408248894,-117.75213258770637,061405625000280,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,134,92.0,33,47,22,481.784793,1053
0563fa23,42.56149770895087,-120.54042446880968,62002000470001,USFS-FREMONT-WINEMA,2016,eastern_cascades_slopes_and_foothills,USFS,0.25,102,148.0,20,31,39,837.572851,1017
056f0650,42.758091189961135,-122.90697790602435,61501000420001,USFS-UMPQUA,2016,cascades,USFS,0.25,128,140.0,28,27,28,402.4540724,1027
0573562c,47.87636383932414,-124.36482911267511,0573562c-01ce-49c4-9578-1e8b28f015bd,WA-DNR,2016,coast_range,WADNR,0.1,104,138.0,22,15,26,206.9319455,1036
0589350a,45.96179257,-121.88056830000001,60303000480001,USFS-GIFFORD-PINCHOT,2018,cascades,USFS,0.25,76,152.0,12,10,73,170.7174351,1174
058ec659,48.22082544032063,-122.01944947874503,058ec659-dcd7-4419-8105-d999cc399c01,WA-DNR,2014,north_cascades,WADNR,0.1,97,99.0,13,29,42,478.7822547,1039
058f1896,46.46044685318638,-122.00414583222575,058f1896-d0e2-4ad4-baac-853e34b4a76f,WA-DNR,2014,cascades,WADNR,0.1,92,128.0,17,21,35,111.57848510000001,1039
059018fe,47.102989351137786,-120.87881030222383,059018fe-2502-4f54-8f44-d1fe874b42dc,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,130,75.0,24,41,29,199.2033456,1045
05905258,43.25946511280247,-124.10618884237495,61-21,BLM-COOS,2010,coast_range,BLM,0.125,119,134.0,38,4,14,172.785001,1039
05936a70,42.351859924004145,-123.26000329288019,23-09,BLM-ROGUE,2013,klamath_mountains_california_high_north_coast_range,BLM,0.125,140,102.0,24,31,27,126.22581240000001,1027
0598f24e,48.547161595392026,-121.99199691265119,0598f24e-4beb-4437-9d4f-51480a255581,WA-DNR,2014,north_cascades,WADNR,0.1,97,99.0,13,29,42,353.2329603,1178
05ac003c,48.22275790056268,-117.57410311126563,05ac003c-ec75-44a1-865b-a5a84195c849,WA-DNR,2018,northern_rockies,WADNR,0.1,108,152.0,12,6,45,390.2210434,1047
05b5bc74,46.9670270765782,-123.1446564549332,05b5bc74-0568-41a4-9476-5fcbc38659e3,WA-DNR,2018,coast_range,WADNR,0.1,100,134.0,20,28,32,117.55094369999999,1042
05bd7e12,48.44112973072273,-119.81279154748468,05bd7e12-fd98-4358-83bc-cc2c0f9dde83,WA-DNR,2015,north_cascades,WADNR,0.1,126,152.0,15,40,47,206.7969297,1055
05dbadaf,47.76660790896921,-124.02256781352585,05dbadaf-45f3-4def-8af6-54e1e20e8c0a,WA-DNR,2014,coast_range,WADNR,0.1,138,121.0,17,43,45,170.03666069999997,1178
05e42729,46.82111684297079,-123.3737524382737,05e42729-8d7e-43b0-a913-d84be5a24557,WA-DNR,2013,coast_range,WADNR,0.1,86,151.0,19,4,17,163.3635485,1039
0611d0d0,47.88651950015737,-124.48743147997783,0611d0d0-060a-413a-9695-580168043f38,WA-DNR,2014,coast_range,WADNR,0.1,104,138.0,22,15,26,75.51483489,1036
0612330b,43.56955394999999,-122.73570640000001,61501002940001,USFS-UMPQUA,2018,cascades,USFS,0.25,116,132.0,40,6,17,276.809738,1037
0636e7b4,47.26667889192023,-120.46505210737354,0636e7b4-f206-420c-8b62-d9e72c0295fa,WA-DNR,2014,eastern_cascades_slopes_and_foothills,WADNR,0.1,122,139.0,18,31,33,52.79827323,1018
063ec602,43.691722813597366,-122.8987406925409,51-11,BLM-LANE,2017,cascades,BLM,0.125,116,132.0,27,31,25,573.9379867,1039
06496e6c,43.02880875052565,-123.88834509753451,101-14,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,74.25379902,1039
0655d4a8,47.27461558727993,-121.70393819004721,0655d4a8-cb96-41bc-998a-37646771ba2b,WA-DNR,2014,cascades,WADNR,0.1,92,128.0,17,21,35,104.35541140000001,1042
065c32e9,45.766922138925025,-117.98760394034534,061406814330153,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,134,92.0,33,47,22,11.08388943,1159
065cc9a7,46.503247211293164,-121.10513938576028,065cc9a7-82b0-4ca8-b0cc-c1a9e906e24f,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,150.0,29,3,22,156.74898080000003,1018
065e0179,46.755095393473965,-121.00144106474562,065e0179-36c4-4293-9b9f-92fd14101a0d,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,81,149.0,18,22,43,548.1801601,1018
0679ef83,46.97976769395768,-123.23878184783256,0679ef83-c13f-407a-a119-0afb23330c69,WA-DNR,2014,coast_range,WADNR,0.1,100,134.0,20,28,32,47.38888546,1158
067aa7c9,47.173044260510515,-124.17003594417218,067aa7c9-1ba4-4422-8ca7-46d49c6ae89f,WA-DNR,2016,coast_range,WADNR,0.1,87,146.0,19,7,15,240.7460596,1036
06890089,47.70454018115414,-123.96398868030194,06890089-2a6e-4002-ab12-8f7f984e6fea,WA-DNR,2017,coast_range,WADNR,0.1,138,121.0,17,43,45,397.8567213,1178
0691746f,42.785866224109085,-123.519081867053,52-07,BLM-ROGUE,2013,klamath_mountains_california_high_north_coast_range,BLM,0.125,140,102.0,24,31,27,87.23371885,1152
06a2db4a,43.16325061,-122.4641241,61503002730001,USFS-UMPQUA,2018,cascades,USFS,0.25,98,137.0,9,28,52,727.1926436000001,1041
06b289ac,46.46737820756018,-121.99787104712921,06b289ac-3313-47d2-ac7d-f2902e7c1273,WA-DNR,2014,cascades,WADNR,0.1,92,128.0,17,21,35,45.54207163,1037
06b5de50,46.475526898642684,-122.54574024755584,06b5de50-09a2-49f8-b9e5-2c00bc72c893,WA-DNR,2014,puget_lowland,WADNR,0.1,92,152.0,24,6,16,389.8558086,1039
06f9d5a1,44.25654765673672,-121.97065206711429,61801002590000,USFS-WILLAMETTE,2016,cascades,USFS,0.25,84,103.0,16,28,32,761.0553335,1174
0709b959,43.07052842355024,-123.66535958046069,41-11,BLM-COOS,2010,klamath_mountains_california_high_north_coast_range,BLM,0.125,125,156.0,41,1,10,220.5131921,1027
070d9e0a,43.09799076926731,-123.98276872675092,103-28,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,264.4651525,1037
07137466,43.088802598483184,-123.72559743538356,72-07,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,76.43575435,1037
07169c43,44.67019083094905,-118.46950274781864,061601LIDAR0008,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,98,121.0,16,23,21,158.1289191,1047
0734b523,46.50257510285582,-121.1033201970248,0734b523-8f8f-4145-9876-9ba5c7ebad37,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,150.0,29,3,22,193.6758081,1018
0738fad2,45.92095383699885,-117.56486727989423,061405671470288,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,115,121.0,23,13,14,405.48194839999996,1045
074f11a6,46.50298237260585,-121.1541789006099,074f11a6-d8d4-4301-bf13-f7fdc4c112d2,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,198.1070233,1055
075cbfbc,48.5091588440022,-119.43007524222409,075cbfbc-f210-49f9-9f4e-2133b16ac2ec,WA-DNR,2017,northern_rockies,WADNR,0.1,135,140.0,9,24,48,23.96635041,1045
077c42e6,43.35123110558945,-124.0770194781972,43-30,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,47.48532316,1039
0797b107,46.82622590237555,-120.96626047854382,0797b107-be2b-4157-adb2-0c9d9ee4e8c5,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,125,139.0,19,26,34,5.751251835,1156
07bfe9fb,46.875938335971966,-123.39038886533943,07bfe9fb-d79a-496b-bf75-d016bc9893db,WA-DNR,2013,coast_range,WADNR,0.1,120,154.0,22,7,26,223.9685676,1039
07c9fe0a,42.89327060818688,-124.01313062156767,11-A01,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,187.83093369999997,1039
07cb9ccd,46.442035693410105,-121.99595518136398,07cb9ccd-9616-49c1-9ef6-fe1691781761,WA-DNR,2014,cascades,WADNR,0.1,92,128.0,17,21,35,179.99844869999998,1039
07f99a36,43.31035804463967,-124.08588374558857,63-24,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,132.9721059,1039
080530cb,43.59729562243944,-123.80916072710035,11-09,BLM-COOS,2010,coast_range,BLM,0.125,119,134.0,38,4,14,172.6460321,1039
0808ea52,45.99951397232783,-122.59253752641047,0808ea52-5ecc-462f-9c15-d537732aaed2,WA-DNR,2017,cascades,WADNR,0.1,107,140.0,24,13,23,52.89199781,1039
080bed0d,46.44073238613555,-122.48282099327653,080bed0d-0bf4-4f2c-8398-8cf3ebad217e,WA-DNR,2013,cascades,WADNR,0.1,105,139.0,12,5,49,264.7594807,1178
086ab3da,42.02679689999999,-120.0900326,60200000000000,USFS-FREMONT-WINEMA,2018,eastern_cascades_slopes_and_foothills,USFS,0.25,118,122.0,23,30,38,566.8185091,1028
0870e51f,46.9917254051826,-123.2168236515221,0870e51f-5604-4ddc-bd15-0a004204c307,WA-DNR,2014,coast_range,WADNR,0.1,100,134.0,20,28,32,23.9579897,1178
087ab2be,47.72401303054616,-124.01973372171814,087ab2be-800b-48c6-9cc6-330a195ea5dd,WA-DNR,2018,coast_range,WADNR,0.1,138,121.0,17,43,45,76.38112588,1178
